"Das CSRF-Token ist ungültig. Bitte versuchen Sie, das Formular erneut.";" Bitte aktualisieren Sie die Seite und versuchen Sie es erneut. Ihre Seite-Sitzung ist abgelaufen."
"Ungültige CSRF Token.";" Bitte aktualisieren Sie die Seite und versuchen Sie es erneut. Ihre Seite-Sitzung ist abgelaufen."
From;Von
To;An
"Terms and Conditions";"Allgemeine Geschäftsbedingungen"
"Have read the";"Habe gelesen das"
"Privacy Policy";"Datenschutz"
"""";"""
Register;Registrieren
here;Hier
"terms and conditions";"Allgemeine Geschäftsbedingungen"
"this link";"diesen link"
"Forgot Password";"Ihr Passwort vergessen"
"Contact Us";"Kontaktieren Sie uns"
"Cash on Delivery (COD) â€?pay for your product/s once it is delivered at your doorstep";"Barzahlung bei Lieferung (COD) Â €? bezahlen für Ihr Produkt/s sobald es vor Ihrer Haustür geliefert wird"
"Credit Card or Debit Card â€?pay for your product/s online";"Kreditkarte oder Debit Card Â €? für Ihr Produkt/s online bezahlen"
"&larr previous";"& Larr vorherige"
"next &rarr";"weiter & rarr"
"Account Deactivation";"Konto-Deaktivierung"
"&nbsp";"& nbsp"
"Password Reset";"Zurücksetzen des Kennworts"
"YiLinker Online";"YiLinker Online"
"Verify your email";"Überprüfen Sie Ihre e-Mail"
"Thank you and Welcome";"Vielen Dank und herzlich willkommen"
"On-Hold Accreditation";"On-Hold-Akkreditierung"
"Click here to edit";"Click here to edit"
Hi;Hallo
"Scan this code";"Scannen Sie diesen code"
OR;oder
link;Verbindung
"Congratulations on verifying your account with";"Herzlichen Glückwunsch Ihr Konto überprüfen"
!;!
"Verified Accreditation";"Verifizierter Akkreditierung"
"Click here";"Klicken Sie hier"
Yilinker;Yilinker
DETAILS;INFORMATIONEN
ITEMS;ELEMENTE
Error;Fehler
404;404
"&#8594";"& #8594"
Whoops!;Hoppla!
captcha;CAPTCHA
"Set this shipping address to default";"Diese Lieferadresse auf Standard festgelegt."
Cancel;Abbrechen
Submit;Senden
"Are you sure you want to delete this conversation?";"Sind Sie sicher, dass Sie dieses Gespräch löschen möchten?"
Delete;Löschen
Okay;Okay
"Search the name of contact here";"Suchen Sie den Namen des Kontakts hier"
"Delete Thread";"Thread löschen"
"Attach Image";"Bild anhängen"
"Type your message";"Geben Sie Ihre Nachricht"
Send;Senden
Sending;Senden
"Send Message";"Nachricht senden"
"Enter your message here";"Geben Sie Ihre Nachricht hier"
"Recent Messages";"Aktuelle Nachrichten"
"One Time Password";"Ein Zeit Passwort"
"Contact #";"Kontakt #"
Type;Typ
Date;Datum
Code;Code
"Delivery Log";"Lieferung-Log"
"Package :";"Paket:"
"Items :";"Elemente:"
"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila";"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila"
"Cancel Order";"Bestellung stornieren"
"Select item to cancel:";"Wählen Sie zum Abbrechen:"
Back;Zurück
No;Nein
Yes;Ja
"Forgot Password?";"Vergessen Passwort?"
"You will receive a confirmation email or SMS message where you can reset your password";"Sie erhalten eine Bestätigung per e-Mail oder SMS-Nachricht, wo Sie Ihr Kennwort zurücksetzen können"
"Please wait";"Bitte warten"
"Back to sign in";"Zurück zur Anmeldung"
Philippines;Philippinen
China;China
"Contact Number*";"Kontaktieren Sie Zahl"
Verify;Überprüfen Sie
0;0
"Confirmation Code*";"Bestätigungs-Code*"
Password*;Passwort*
"Confirm your password*";"Bestätigen Sie Ihr Passwort*"
"Referral Code";"Referral-Code"
"Register now";"Registrieren Sie sich jetzt"
