"El token CSRF no es válido. Por favor, intente volver a enviar el formulario.";"Por favor, actualice la página y vuelva a intentarlo. Su sesión en la página ha expirado."
"Token CSRF no válido.";"Por favor, actualice la página y vuelva a intentarlo. Su sesión en la página ha expirado."
"From";"De"
To;Para
"Terms and Conditions";"Términos y condiciones"
"Have read the";"He leído la "
"Privacy Policy";"Política de Privacidad"
"""";"""
Register;Registrarse
here;aquí
"terms and conditions";"Términos y condiciones"
"this link";"este enlace"
"Forgot Password";"olvidado la contraseña"
"Contact Us";"Póngase en contacto con nosotros"
"Cash on Delivery (COD) â€?pay for your product/s once it is delivered at your doorstep";"¿Pago contrareembolso (PCR) â€?pague su producto(s) una vez que se entrega en su casa"
"Credit Card or Debit Card â€?pay for your product/s online";"¿Tarjeta de crédito o tarjeta de débito â€? Pague sus productos online"
"&larr previous";"&larr anterior"
"next &rarr";"siguiente &rarr"
"Account Deactivation";"Desactivación de la cuenta"
"&nbsp";"&nbsp"
"Password Reset";"Restablecimiento de contraseña"
"YiLinker Online";"YiLinker online"
"Verify your email";"Verifique su correo electrónico"
"Thank you and Welcome";"Gracias y bienvenido"
"On-Hold Accreditation";"Acreditación en espera"
"Click here to edit";"Haga clic aquí para editar"
Hi;Hola
"Scan this code";"Escanee este código"
OR;O
link;enlace
"Congratulations on verifying your account with";"Enhorabuena por verificar su cuenta con"
!;!
"Verified Accreditation";"Acreditación verificada"
"Click here";"Haga clic aquí"
Yilinker;Yilinker
DETAILS;DETALLES
ITEMS;ELEMENTOS
Error;Error
404;404
"&#8594";"&#8594"
Whoops!;¡Caramba!
captcha;captcha
"Set this shipping address to default";"Fijar esta dirección de envío por defecto"
Cancel;Cancelar
Submit;Enviar
"Are you sure you want to delete this conversation?";"¿Está seguro que desea eliminar esta conversación?"
Delete;Eliminar
Okay;Bien
"Search the name of contact here";"Buscar aquí el nombre del contacto"
"Delete Thread";"Eliminar hilo"
"Attach Image";"Adjuntar imagen"
"Type your message";"Teclee su mensaje"
Send;Enviar
Sending;Enviando
"Send Message";"Enviar mensaje"
"Enter your message here";"Introduzca aquí su mensaje"
"Recent Messages";"Mensajes recientes"
"One Time Password";"Contraseña de una sola vez"
"Contact #";"Contacto #"
Type;Tipo
Date;Fecha
Code;Código
"Delivery Log";"Registro de entrega"
"Package :";"Paquete:"
"Items :";"Artículos:"
"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila";"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila"
"Cancel Order";"Cancelar pedido"
"Select item to cancel:";"Seleccionar elemento a cancelar:"
Back;Atrás
No;No
Yes;¡Sí
"Forgot Password?";"¿Ha olvidado la contraseña?"
"You will receive a confirmation email or SMS message where you can reset your password";"Recibirá un correo electrónico de confirmación o un mensaje SMS donde puede restablecer su contraseña"
"Please wait";"Por favor, espere"
"Back to sign in";"Atrás a iniciar sesión"
Philippines;Filipina
China;China
"Contact Number*";"Número de contacto*"
Verify;Verificar
0;0
"Confirmation Code*";"Código de confirmación*"
Password*;Contraseña*
"Confirm your password*";"Confirme su contraseña*"
"Referral Code";"Código de referencia"
"Register now";"Registrarse ahora"
