"CSRF token tidak valid. Silakan coba untuk kembali formulir."; " Silahkan refresh halaman dan coba lagi. Sesi halaman Anda telah kedaluwarsa."
"Tidak valid CSRF token."; " Silahkan refresh halaman dan coba lagi. Sesi halaman Anda telah kedaluwarsa."
From;Dari
To;Untuk
"Terms and Conditions"; "Syarat dan ketentuan"
"Have read the"; "Telah membaca"
"Privacy Policy"; "Kebijakan Privasi"
"; "
Register;Daftar
here;Sini
"terms and conditions"; "syarat dan ketentuan"
"this link"; "link ini"
"Forgot Password"; "Lupa Sandi"
"Contact Us"; "Hubungi kami"
"Cash on Delivery (COD) 鈥?pay for your product/s once it is delivered at your doorstep"; "Tunai pada Delivery (COD) â €? membayar untuk Anda produk/s setelah disampaikan di depan pintu Anda""Cash on Delivery (COD) 鈥?pay for your product/s once it is delivered at your doorstep"; "Tunai pada Delivery (COD) â €? membayar untuk Anda produk/s setelah disampaikan di depan pintu Anda""Cash on Delivery (COD) 鈥?pay for your product/s once it is delivered at your doorstep"; "Tunai pada Delivery (COD) â €? membayar untuk Anda produk/s setelah disampaikan di depan pintu Anda""Cash on Delivery (COD) 鈥?pay for your product/s once it is delivered at your doorstep"; "Tunai pada Delivery (COD) â €? membayar untuk Anda produk/s setelah disampaikan di depan pintu Anda""Cash on Delivery (COD) 鈥?pay for your product/s once it is delivered at your doorstep"; "Tunai pada Delivery (COD) â €? membayar untuk Anda produk/s setelah disampaikan di depan pintu Anda""Cash on Delivery (COD) 鈥?pay for your product/s once it is delivered at your doorstep"; "Tunai pada Delivery (COD) â €? membayar untuk Anda produk/s setelah disampaikan di depan pintu Anda"
"Credit Card or Debit Card 鈥?pay for your product/s online"; "Kartu kredit atau Kartu Debit â €? membayar untuk Anda produk/s online""Credit Card or Debit Card 鈥?pay for your product/s online"; "Kartu kredit atau Kartu Debit â €? membayar untuk Anda produk/s online""Credit Card or Debit Card 鈥?pay for your product/s online"; "Kartu kredit atau Kartu Debit â €? membayar untuk Anda produk/s online""Credit Card or Debit Card 鈥?pay for your product/s online"; "Kartu kredit atau Kartu Debit â €? membayar untuk Anda produk/s online""Credit Card or Debit Card 鈥?pay for your product/s online"; "Kartu kredit atau Kartu Debit â €? membayar untuk Anda produk/s online""Credit Card or Debit Card 鈥?pay for your product/s online"; "Kartu kredit atau Kartu Debit â €? membayar untuk Anda produk/s online"
"&larr; previous"; "&larr; sebelumnya"
"next &rarr;"; "berikutnya &rarr;"
"Account Deactivation"; "Penonaktifan account"
"&nbsp;"; "&nbsp;"
"Password Reset"; "Sandi ulang"
"YiLinker Online"; "YiLinker Online"
"Verify your email"; "Verifikasi email kamu"
"Thank you and Welcome"; "Terima kasih dan Selamat datang"
"On-Hold Accreditation"; "Pada-terus akreditasi"
"Click here to edit"; "Klik di sini untuk mengedit"
"Hi,;Hai"
"Scan this code"; "Pindai kode ini"
OR;ATAU
link;link
"Congratulations on verifying your account with"; "Selamat atas memverifikasi account Anda dengan"
!;!
"Verified Accreditation"; "Akreditasi diverifikasi"
"Click here"; "Klik di sini"
Yilinker;Yilinker
DETAILS;RINCIAN
ITEMS;ITEM
Error;Kesalahan
404;404
"&#8594;"; "& #8594;"
Whoops!;Whoops!
captcha;Captcha
"Set this shipping address to default"; "Set ini alamat pengiriman ke default"
Cancel;Batal
Submit;Kirim
"Are you sure you want to delete this conversation?"; "Apakah Anda yakin Anda ingin menghapus percakapan ini?"
Delete;Hapus
Okay;Oke
"Search the name of contact here"; "Cari nama kontak di sini"
"Delete Thread"; "Menghapus Thread"
"Attach Image"; "Melampirkan gambar"
"Type your message"; "Ketik pesan"
Send;Kirim
Sending;Pengiriman
"Send Message"; "Kirim pesan"
"Enter your message here"; "Masukkan pesan Anda di sini"
"Recent Messages"; "Pesan terakhir"
"One Time Password"; "One Time Password"
"Contact #"; "Hubungi #"
Type;Jenis
Date;Tanggal
Code;Kode
"Delivery Log"; "Pengiriman Log"
"Package :"; "Paket:"
"Items :"; "Item:"
"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila"; "Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila"
"Cancel Order"; "Membatalkan pesanan"
"Select item to cancel:"; "Pilih item untuk membatalkan:"
Back;Kembali
No;Tidak
Yes;Ya
"Forgot Password?"; "Lupa Password?"
"You will receive a confirmation email or SMS message where you can reset your password"; "Anda akan menerima email konfirmasi atau SMS pesan yang mana Anda dapat membuat ulang sandi"
"Please wait"; "Harap tunggu"
"Back to sign in"; "Kembali ke masuk"
Philippines;Filipina
China;Cina
"Contact Number*"; "Nomor kontak *"
Verify;Memverifikasi
00:00;0:00
"Confirmation Code*"; "Kode konfirmasi *"
Password*;Kata sandi *
"Confirm your password*"; "Konfirmasi password Anda *"
"Referral Code"; "Kode arahan"
"Register now"; "Daftar sekarang"
