"Il token CSRF non è valido. Si prega di reinviare il modulo.";"Si prega di ricaricare la pagina e riprovare. La tua sessione di pagina è scaduta."
"Token CSRF non valido.";"Si prega di ricaricare la pagina e riprovare. La tua sessione di pagina è scaduta."
From;Da
To;A
"Terms and Conditions";"Termini e Condizioni"
"Have read the";"Ho letto la"
"Privacy Policy";"Politica sulla Privacy"
"""";""""
Register;Registrati
here;qui
"terms and conditions";"termini e condizioni"
"this link";"questo link"
"Forgot Password";"Password Dimenticata"
"Contact Us";"Contattaci"
"Cash on Delivery (COD) â€?pay for your product/s once it is delivered at your doorstep";"Pagamento alla Consegna (COD)â€? e paga il/i prodotto/i una volta arrivato/i a casa tua"
"Credit Card or Debit Card â€?pay for your product/s online";"Carta di Credito o Carta di Debitoâ€? e paga il/i prodotto/i online"
"&larr previous";"&larr precedente"
"next &rarr";"prossimo &rarr"
"Account Deactivation";"Disattivazione Conto"
"&nbsp";"&nbsp"
"Password Reset";"Resetta Password"
"YiLinker Online";"YiLinker Online"
"Verify your email";"Verifica la tua email"
"Thank you and Welcome";"Grazie e Benvenuto"
"On-Hold Accreditation";"Accredito in sospeso"
"Click here to edit";"Clicca qui per modificare"
Hi;Ciao
"Scan this code";"Scansiona questo codice"
OR;O
link;link
"Congratulations on verifying your account with";"Congratulazioni per aver verificato il tuo conto con"
!;!
"Verified Accreditation";"Accreditamento Verificato"
"Click here";"Clicca qui"
Yilinker;Yilinker
DETAILS;DETTAGLI
ITEMS;ARTICOLI
Error;Errore
404;404
"&#8594";"&#8594"
Whoops!;Ops!
captcha;captcha
"Set this shipping address to default";"Imposta questo indirizzo di spedizione come predefinito"
Cancel;Cancella
Submit;Invia
"Are you sure you want to delete this conversation?";"Sei sicuro di voler eliminare questa conversazione?"
Delete;Elimina
Okay;Ok
"Search the name of contact here";"Cerca il nome del contatto qui"
"Delete Thread";"Elimina Thread"
"Attach Image";"Allega Immagine"
"Type your message";"Digita il tuo messaggio"
Send;Invia
Sending;Invio in corso
"Send Message";"Invia Messaggio"
"Enter your message here";"Inserisci qui il tuo messaggio"
"Recent Messages";"Messaggi Recenti"
"One Time Password";"Password Monouso"
"Contact #";"Contatto #"
Type;Tipo
Date;Data
Code;Codice
"Delivery Log";"Registro di Consegna"
"Package :";"Pacco:"
"Items :";"Articoli:"
"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila";"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila"
"Cancel Order";"Cancella Ordine"
"Select item to cancel:";"Seleziona l'articolo da cancellare"
Back;Indietro
No;No
Yes;Sì
"Forgot Password?";"Password Dimenticata?"
"You will receive a confirmation email or SMS message where you can reset your password";"Riceverai un'email o un SMS di conferma per poter reimpostare la password"
"Please wait";"Si prega di attendere"
"Back to sign in";"Torna al sign in"
Philippines;Filippine
China;Cina
"Contact Number*";"Numero Contatto*"
Verify;Verifica
0;0
"Confirmation Code*";"Codice di Conferma*"
Password*;Password*
"Confirm your password*";"Conferma la tua password*"
"Referral Code";"Codice di Riferimento"
"Register now";"Registrati ora"
