"CSRF token không hợp lệ. Xin vui lòng thử gửi lại biểu mẫu.";" Xin vui lòng refresh trang và thử lại. Trang phiên làm việc đã hết hạn."
"Mã thông báo không hợp lệ CSRF.";" Xin vui lòng refresh trang và thử lại. Trang phiên làm việc đã hết hạn."
From;Từ
To;Để
"Terms and Conditions";"Điều khoản và điều kiện"
"Have read the";"Đã đọc các"
"Privacy Policy";"Chính sách bảo mật"
"""";""""
Register;Đăng ký
here;Ở đây
"terms and conditions";"điều khoản và điều kiện"
"this link";"liên kết này"
"Forgot Password";"Quên mật khẩu"
"Contact Us";"Liên hệ với chúng tôi"
"Cash on Delivery (COD) 鈥?pay for your product/s once it is delivered at your doorstep";"Tiền mặt ngày giao hàng (COD) â €? trả tiền cho bạn sản phẩm/s một khi nó được phân phối ở bậc cửa của bạn"
"Credit Card or Debit Card 鈥?pay for your product/s online";"Thẻ tín dụng hoặc thẻ ghi nợ â €? trả tiền cho bạn sản phẩm/s trực tuyến"
"&larr; previous";"&larr; trước"
"next &rarr;";"tiếp theo &rarr;"
"Account Deactivation";"Vô hiệu hóa tài khoản"
"&nbsp;";"&nbsp;"
"Password Reset";"Đặt lại mật khẩu"
"YiLinker Online";"YiLinker trực tuyến"
"Verify your email";"Xác nhận email của bạn"
"Thank you and Welcome";"Cảm ơn bạn và chào đón"
"On-Hold Accreditation";"Về tổ chức kiểm định chất lượng"
"Click here to edit";"Click vào đây để chỉnh sửa"
Hi,;Chào bạn
"Scan this code";"Quét mã này"
OR;HOẶC
link;liên kết
"Congratulations on verifying your account with";"Chúc mừng bạn đã xác minh tài khoản của bạn"
!;!
"Verified Accreditation";"Chứng nhận chất lượng xác minh"
"Click here";"Click vào đây"
Yilinker;Yilinker
DETAILS;THÔNG TIN CHI TIẾT
ITEMS;KHOẢN MỤC
Error;Lỗi
404;404
"&#8594;";"&#8594;"
Whoops!;Whoops!
captcha;captcha
"Set this shipping address to default";"Thiết lập địa chỉ vận chuyển này để mặc định"
Cancel;Hủy bỏ
Submit;Gửi
"Are you sure you want to delete this conversation?";"Bạn có chắc bạn muốn xóa bỏ chuyện này?"
Delete;Xóa bỏ
Okay;Ok
"Search the name of contact here";"Tìm kiếm tên liên hệ tại đây"
"Delete Thread";"Xóa chủ đề"
"Attach Image";"Đính kèm hình ảnh"
"Type your message";"Loại tin nhắn của bạn"
Send;Gửi
Sending;Gửi
"Send Message";"Gửi tin nhắn"
"Enter your message here";"Tin nhắn của bạn ở đây"
"Recent Messages";"Thông điệp gần đây"
"One Time Password";"Một trong những thời gian mật khẩu"
"Contact #";"Liên hệ #"
Type;Loại hình
Date;Ngày
Code;Mã số
"Delivery Log";"Nhật ký giao hàng"
"Package :";"Đóng gói:"
"Items :";"Mục:"
"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila";"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila"
"Cancel Order";"Hủy bỏ đơn đặt hàng"
"Select item to cancel:";"Chọn khoản mục để hủy bỏ:"
Back;Trở lại
No;Không
Yes;Có
"Forgot Password?";"Quên mật khẩu?"
"You will receive a confirmation email or SMS message where you can reset your password";"Bạn sẽ nhận được một email xác nhận hoặc tin nhắn SMS, nơi bạn có thể đặt lại mật khẩu của bạn"
"Please wait";"Hãy chờ"
"Back to sign in";"Quay lại đăng nhập"
Philippines;Philippin
China;Trung Quốc
"Contact Number*";"Số liên lạc *"
Verify;Xác minh
00:00;0:00
"Confirmation Code*";"Mã xác nhận *"
Password*;Mật khẩu *
"Confirm your password*";"Xác nhận mật khẩu *"
"Referral Code";"Giới thiệu mã"
"Register now";"Đăng ký bây giờ"
